Epoch 00199 | Loss 0.5647 | Test Acc 0.8438 | Time(s) 0.0396
Epoch 00200 | Loss 0.5637 | Test Acc 0.8438 | Time(s) 0.0397
Epoch 00201 | Loss 0.5627 | Test Acc 0.8438 | Time(s) 0.0397
Epoch 00202 | Loss 0.5617 | Test Acc 0.8438 | Time(s) 0.0396
Epoch 00203 | Loss 0.5607 | Test Acc 0.8438 | Time(s) 0.0396
Epoch 00204 | Loss 0.5597 | Test Acc 0.8438 | Time(s) 0.0396
Epoch 00205 | Loss 0.5586 | Test Acc 0.8438 | Time(s) 0.0396
Epoch 00206 | Loss 0.5576 | Test Acc 0.8438 | Time(s) 0.0396
Epoch 00207 | Loss 0.5566 | Test Acc 0.8438 | Time(s) 0.0396
Epoch 00208 | Loss 0.5555 | Test Acc 0.8438 | Time(s) 0.0396
Epoch 00209 | Loss 0.5545 | Test Acc 0.8750 | Time(s) 0.0395
Epoch 00210 | Loss 0.5534 | Test Acc 0.8750 | Time(s) 0.0395
Epoch 00211 | Loss 0.5524 | Test Acc 0.8750 | Time(s) 0.0395
Epoch 00212 | Loss 0.5513 | Test Acc 0.8750 | Time(s) 0.0395
Epoch 00213 | Loss 0.5502 | Test Acc 0.8750 | Time(s) 0.0395
Epoch 00214 | Loss 0.5492 | Test Acc 0.9062 | Time(s) 0.0395
Epoch 00215 | Loss 0.5481 | Test Acc 0.9062 | Time(s) 0.0395
Epoch 00216 | Loss 0.5470 | Test Acc 0.9062 | Time(s) 0.0395
Epoch 00217 | Loss 0.5459 | Test Acc 0.9062 | Time(s) 0.0395
Epoch 00218 | Loss 0.5448 | Test Acc 0.9062 | Time(s) 0.0394
Epoch 00219 | Loss 0.5437 | Test Acc 0.9062 | Time(s) 0.0394
Epoch 00220 | Loss 0.5426 | Test Acc 0.9062 | Time(s) 0.0394
Epoch 00221 | Loss 0.5415 | Test Acc 0.9062 | Time(s) 0.0394
Epoch 00222 | Loss 0.5404 | Test Acc 0.9062 | Time(s) 0.0394
Epoch 00223 | Loss 0.5392 | Test Acc 0.9062 | Time(s) 0.0394
Epoch 00224 | Loss 0.5381 | Test Acc 0.9062 | Time(s) 0.0394
Epoch 00225 | Loss 0.5370 | Test Acc 0.9062 | Time(s) 0.0394
Epoch 00226 | Loss 0.5358 | Test Acc 0.9062 | Time(s) 0.0393
Epoch 00227 | Loss 0.5347 | Test Acc 0.9062 | Time(s) 0.0393
Epoch 00228 | Loss 0.5335 | Test Acc 0.9062 | Time(s) 0.0394
Epoch 00229 | Loss 0.5323 | Test Acc 0.9062 | Time(s) 0.0394
Epoch 00230 | Loss 0.5311 | Test Acc 0.9062 | Time(s) 0.0395
Epoch 00231 | Loss 0.5300 | Test Acc 0.9375 | Time(s) 0.0394
Epoch 00232 | Loss 0.5288 | Test Acc 0.9375 | Time(s) 0.0394
Epoch 00233 | Loss 0.5276 | Test Acc 0.9375 | Time(s) 0.0394
